verkiezing;gemeente;gemeente_id;bureau_id;bureau_label;bureau_zip;total_counted;cast;votes_ongeldig;votes_blanco;VVD;Partij van de Arbeid (P.v.d.A.);CDA;Baarnse Onafhankelijke Partij (BOP);D66;GROENLINKS;ChristenUnie-SGP;LTS (Lijst Tinus Snyders);PVV (Partij voor de Vrijheid);SP (Socialistische Partij);ChristenUnie;Staatkundig Gereformeerde Partij (SGP);50PLUS;Partij voor de Dieren;Vrijzinnige Partij;Provincie@Inwonersbelangen;Libertarische Partij (LP);JEZUS LEEFT;OndernemersPartij;VNL (VoorNederland);DENK;NIEUWE WEGEN;Forum voor Democratie;De Burger Beweging;GeenPeil;Piratenpartij;Artikel 1;Niet Stemmers;StemNL;MenS en Spirit / Basisinkomen Partij / V-R;VoorBaarn;U26 GEMEENTEN;GROENLINKS / Partij van de Arbeid (PvdA);Volt;JA21;BBB;BIJ1;Piratenpartij - De Groenen;BVNL / Groep Van Haga;Nieuw Sociaal Contract;Splinter;LP (Libertaire Partij);LEF - Voor de Nieuwe Generatie;Samen voor Nederland;Nederland met een PLAN;PartijvdSport;Politieke Partij voor Basisinkomen
2015_ps;Baarn;308;0308::SB8;Stembureau Gebouw Brandpunt;3743KN;740;1208;2;2;275;40;95;0;152;34;0;0;40;29;25;5;14;26;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015_ps;Baarn;308;0308::SB9;Stembureau Rest. Greenfield's ingang Chopinln;3741 GS;812;1802;1;1;267;60;130;0;119;37;0;0;55;30;32;24;20;30;0;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015_ps;Baarn;308;0308::SB10;"Stembureau Dorpshuis ""de Furs""";3749AA;215;359;0;3;55;20;24;0;28;24;0;0;20;12;4;11;4;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015_ps;Baarn;308;0308::SB11;"Stembureau Verzorgingstehuis ""De Blinkert""";3741BE;671;1357;3;5;115;50;97;0;103;37;0;0;69;58;47;16;30;37;1;1;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015_ps;Baarn;308;0308::SB12;Stembureau Brandweerkazerne;3741WE;912;1641;6;2;183;95;120;0;154;58;0;0;88;79;46;9;32;40;3;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015_ps;Baarn;308;0308::SB13;"Stembureau Woon- en zorgcentrum ""Santvoorde""";3741VJ;673;1547;1;2;83;44;111;0;98;37;0;0;100;79;43;10;34;29;2;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2015_ps;Baarn;308;0308::SB14;Stembureau De Speeldoos;3741TA;820;1422;0;2;170;64;112;0;128;75;0;0;78;81;31;7;24;43;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017_tk;Baarn;308;0308::SB1;Stembureau Gemeentehuis Baarn ing Laanstraat 1;3743 BA;1670;1451;3;3;531;80;195;0;273;160;0;0;122;85;49;24;27;60;1;0;1;0;2;8;11;1;36;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017_tk;Baarn;308;0308::SB2;Stembureau Basisschool De Uitkijck;3742 RC;1196;1667;0;0;297;69;148;0;197;110;0;0;117;65;45;14;39;39;0;0;1;0;0;7;18;0;23;1;0;4;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017_tk;Baarn;308;0308::SB3;Stembureau Maria Koningin Kerk;3742 XM;1025;1305;1;2;197;90;123;0;118;116;0;0;120;90;43;9;31;50;0;0;0;0;1;3;10;2;15;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017_tk;Baarn;308;0308::SB4;Stembureau Guido de Bresschool ing Maatkampweg;3742 TG;1033;1253;2;0;250;64;105;0;140;76;0;0;136;79;51;13;34;37;0;0;0;0;0;10;12;0;19;1;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017_tk;Baarn;308;0308::SB5;Stembureau Gebouw De Pool;3742 RL;925;1266;1;1;150;54;83;0;88;94;0;0;159;99;36;1;46;29;0;0;2;1;0;2;55;1;15;1;1;5;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017_tk;Baarn;308;0308::SB6;Stembureau Gebouw Elan;3742 SJ;1008;1504;1;1;268;54;108;0;169;109;0;0;92;60;42;7;33;41;0;0;2;0;0;3;8;1;7;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017_tk;Baarn;308;0308::SB7;Stembureau NS station;3743 KM;1518;1214;1;1;572;66;186;0;295;122;0;0;65;40;60;16;18;33;0;0;3;0;0;1;9;1;19;1;0;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017_tk;Baarn;308;0308::SB8;Stembureau Gebouw Brandpunt;3743 KN;978;1253;3;2;414;38;96;0;167;73;0;0;45;21;29;9;13;40;0;0;1;0;0;2;0;0;22;1;1;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017_tk;Baarn;308;0308::SB9;Stembureau Rest. Greenfield's ingang Â Chopinln;3741 GS;1099;1816;3;1;447;51;127;0;178;63;0;0;71;25;39;19;21;33;0;0;0;0;2;3;2;0;16;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017_tk;Baarn;308;0308::SB10;Stembureau Dorpshuis de Furs;3749 AA;301;362;0;0;81;17;41;0;28;36;0;0;19;10;7;15;3;19;0;0;0;1;1;0;0;1;18;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
